pgmid,courseId,branchId,outcome
104,1003,70,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.                                    
					 "
105,1003,69,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization to the solution of complex computer application problems."
106,1003,68,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization to the solution of complex computer application problems."
107,1003,70,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization to the solution of complex computer application problems."
108,1003,69,"Problem analysis: Identify, formulate, review research literature, and analyze complex computer application problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences."
109,1003,69,"Problem analysis: Identify, formulate, review research literature, and analyze complex computer application problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences."
110,1003,68,"Problem analysis: Identify, formulate, review research literature, and analyze complex computer application problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences."
111,1003,70,"Problem analysis: Identify, formulate, review research literature, and analyze complex computer application problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences."
112,1003,69,"Design/development of solutions: Design solutions for complex computer application problems and design system components or processes that meet the specified needs with appropriate consideration for the public health and safety, and the cultural, societal, and environmental considerations."
113,1003,68,"Design/development of solutions: Design solutions for complex computer application problems and design system components or processes that meet the specified needs with appropriate consideration for the public health and safety, and the cultural, societal, and environmental considerations."
114,1003,68,"Design/development of solutions: Design solutions for complex computer application problems and design system components or processes that meet the specified needs with appropriate consideration for the public health and safety, and the cultural, societal, and environmental considerations."
115,1003,70,"Design/development of solutions: Design solutions for complex computer application problems and design system components or processes that meet the specified needs with appropriate consideration for the public health and safety, and the cultural, societal, and environmental considerations."
116,1003,70,"Design/development of solutions: Design solutions for complex computer application problems and design system components or processes that meet the specified needs with appropriate consideration for the public health and safety, and the cultural, societal, and environmental considerations."
117,1003,69,"Design/development of solutions: Design solutions for complex computer application problems and design system components or processes that meet the specified needs with appropriate consideration for the public health and safety, and the cultural, societal, and environmental considerations."
118,1003,69,"Conduct investigations of complex problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions."
119,1003,69,"Conduct investigations of complex problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions."
120,1003,68,"Conduct investigations of complex problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions."
121,1003,70,"Conduct investigations of complex problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions."
122,1003,69,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools including prediction and modelling to complex engineering activities with an understanding of the limitations."
123,1003,68,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools including prediction and modelling to complex engineering activities with an understanding of the limitations."
124,1003,70,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools including prediction and modelling to complex engineering activities with an understanding of the limitations."
125,1003,70,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools including prediction and modelling to complex engineering activities with an understanding of the limitations."
126,1003,69,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to the professional engineering practice."
127,1003,68,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to the professional engineering practice."
128,1003,70,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to the professional engineering practice."
129,1003,69,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development."
130,1003,68,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development."
131,1003,68,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development."
132,1003,70,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development."
133,1003,69,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.
134,1003,69,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.
135,1003,68,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.
136,1003,70,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.
137,1003,69,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings."
138,1003,68,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings."
139,1003,70,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings."
140,1003,69,"Communication: Communicate effectively on complex engineering activities with the engineering community and with society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions."
141,1003,68,"Communication: Communicate effectively on complex engineering activities with the engineering community and with society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions."
142,1003,70,"Communication: Communicate effectively on complex engineering activities with the engineering community and with society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions."
143,1003,69,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to oneâ€™s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments."
144,1003,68,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to oneâ€™s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments."
145,1003,70,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to oneâ€™s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments."
146,1003,69,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change."
147,1003,68,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change."
148,1003,70,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change."
149,1003,69,"Computational Knowledge: Apply knowledge of computing fundamentals, computing specialization, mathematics, and domain knowledge appropriate for the computing specialization to the abstraction and conceptualization of computing models from defined problems and requirements."
150,1003,68,"Computational Knowledge: Apply knowledge of computing fundamentals, computing specialization, mathematics, and domain knowledge appropriate for the computing specialization to the abstraction and conceptualization of computing models from defined problems and requirements."
151,1003,70,"Computational Knowledge: Apply knowledge of computing fundamentals, computing specialization, mathematics, and domain knowledge appropriate for the computing specialization to the abstraction and conceptualization of computing models from defined problems and requirements."
152,1003,69,"Problem analysis: Identify, formulate, research literature, and solve complex computing problems reaching substantiated conclusions using fundamental principles of mathematics, computing sciences and relevant domain disciplines."
153,1003,68,"Problem analysis: Identify, formulate, research literature, and solve complex computing problems reaching substantiated conclusions using fundamental principles of mathematics, computing sciences and relevant domain disciplines."
154,1003,70,"Problem analysis: Identify, formulate, research literature, and solve complex computing problems reaching substantiated conclusions using fundamental principles of mathematics, computing sciences and relevant domain disciplines."
155,1003,69,"Design /Development of Solutions:
Design and evaluate solutions for complex computing problems, and design and evaluate systems, components, or processes that meet specified needs with appropriate consideration for public health and safety, cultural, societal, and environmental considerations."
156,1003,68,"Design /Development of Solutions:
Design and evaluate solutions for complex computing problems, and design and evaluate systems, components, or processes that meet specified needs with appropriate consideration for public health and safety, cultural, societal, and environmental considerations."
157,1003,70,"Design /Development of Solutions:
Design and evaluate solutions for complex computing problems, and design and evaluate systems, components, or processes that meet specified needs with appropriate consideration for public health and safety, cultural, societal, and environmental considerations."
158,1003,69,"Conduct investigations of complex Computing problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions."
159,1003,68,"Conduct investigations of complex Computing problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions."
160,1003,70,"Conduct investigations of complex Computing problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions."
161,1003,69,"Modern Tool Usage: Create, select, adapt and apply appropriate techniques, resources, and modern computing tools to complex computing activities, with an understanding of the limitations."
162,1003,68,"Modern Tool Usage: Create, select, adapt and apply appropriate techniques, resources, and modern computing tools to complex computing activities, with an understanding of the limitations."
163,1003,70,"Modern Tool Usage: Create, select, adapt and apply appropriate techniques, resources, and modern computing tools to complex computing activities, with an understanding of the limitations."
164,1003,69,"Professional Ethics: Understand and commit to professional ethics and cyber regulations, responsibilities, and norms of professional computing practices."
165,1003,68,"Professional Ethics: Understand and commit to professional ethics and cyber regulations, responsibilities, and norms of professional computing practices."
166,1003,70,"Professional Ethics: Understand and commit to professional ethics and cyber regulations, responsibilities, and norms of professional computing practices."
