psoid,courseId,branchId,outcome
22,1003,69,"Apply Engineering knowledge to analyze, design and develop computing solutions by employing modern computer languages, environments and platforms that can solve complex problems."
23,1003,68,"Apply Engineering knowledge to analyze, design and develop computing solutions by employing modern computer languages, environments and platforms that can solve complex problems."
24,1003,68,"Apply Engineering knowledge to analyze, design and develop computing solutions by employing modern computer languages, environments and platforms that can solve complex problems."
25,1003,70,"Apply Engineering knowledge to analyze, design and develop computing solutions by employing modern computer languages, environments and platforms that can solve complex problems."
26,1003,69,"Anticipate the changing direction of computational technology, evaluate it and communicate the likely utility of that for building software systems that would perform tasks related to Industry, Research and Education."
27,1003,68,"Anticipate the changing direction of computational technology, evaluate it and communicate the likely utility of that for building software systems that would perform tasks related to Industry, Research and Education."
28,1003,70,"Anticipate the changing direction of computational technology, evaluate it and communicate the likely utility of that for building software systems that would perform tasks related to Industry, Research and Education."
29,1003,69,Inculcate the knowledge of Engineering and Management principles to manage projects effectively and create innovative career path
30,1003,68,Inculcate the knowledge of Engineering and Management principles to manage projects effectively and create innovative career path
31,1003,70,Inculcate the knowledge of Engineering and Management principles to manage projects effectively and create innovative career path
32,1001,38,"Successfully apply the knowledge of information technology and other relevant disciplines to design, develop and manage computer based systems to solve real life problems."
33,1001,38,Foster research skills to develop sustainable solutions to problems in computing.
34,1001,38,Acquire essential managerial skills and ethical values to develop themselves as true leaders and team players.
35,1001,34,"Upon completion of the program, our Graduates shall be able to:"
36,1001,34,"Upon completion of the program, our Graduates shall be able to:
Apply the basic principles of civil engineering to identify, formulate and execute solutions to multidisciplinary problems encountered in the practice of civil engineering"
37,1001,34,"To identify, formulate and solve civil engineering problems by applying knowledge of science,mathematics and engineering leveraging skills, techniques and various modern tools"
38,1001,34,"To meet desired economic, environmental, ethical, and sustainability constraints while designing civil engineering system or elements"
39,1001,34,To manifest professional and ethical responsibilities while discharging duties
40,1001,36,"Ability to specify, design, prototype and test power supplies for electronic systems,   power amplifiers and communication systems using currently available electronic systems. "
42,1001,36,Ability to work with analog and digital signal processing functions as per user requirements in designing digital and analog systems using software tools and electronic components.
43,1001,36,Excellent adaptability to changing work environment and good interpersonal skills to be part of a team as a member or leader with concerns for professional ethics and societal responsibilities.
44,1001,47,Graduates of Chemical Engineering Program shall be able to successfully apply the knowledge of principles of science and engineering to identify and solve the real-life problems in Chemical Engineering and allied areas.
41,1001,36,Competency to use modern electronic tools (both software and hardware) for design and analysis of complex electronic systems in furtherance to research activities.
45,1001,47,Graduates of Chemical Engineering Program shall be able to foster research skills to develop sustainable solutions for Chemical Engineering problems.
46,1001,47,Graduates of Chemical Engineering Program shall be able to acquire essential managerial skills and ethical values to develop oneself as a true leaderand a team player.
47,1001,35,"Apply Engineering knowledge to analyze, design and develop computing solutions by employing modern computer languages, environments and platforms that can solve complex problems."
48,1001,35,"Anticipate the changing direction of computational technology, evaluate it and communicate the likely utility of that for building software systems that would perform tasks related to industry, research and education."
49,1001,35,Inculcate the knowledge of Engineering and Management principles to manage projects effectively and create innovative career paths.
50,1001,39,Apply profound engineering knowledge in the domains of mechanics and design engineering to analyze and solve real life as well as real time technical problems.
51,1001,39,Apply mechanical engineering knowledge to analyse and design sound thermal and fluid systems.
52,1001,39,Develop and implement modern manufacturing practices and manage a production floor efficiently.
53,1001,33,Implement theoretical and practical knowledge to solve real life problems related to automobile engineering and transportation
54,1001,33,Provide research base to enhance and apply their knowledge and competence for development of novel products for the automobile industry
55,1001,33,"Be team players to manage men, materials and machinery in an orderly, energy efficient and eco-friendly manner"
56,1001,33,Identify problems related to automobile and transportation engineering and provide solutions based on appropriate analytical methods
57,1001,43,"Ability to apply mathematical, science and engineering fundamental aspects to metallurgical systems"
58,1001,43,"An ability to employ experimental, statistical and computational methods to solve metallurgical problems"
59,1001,43,Ability to apply the integrated knowledge of structure property correlation in material processing and product development
60,1002,42,"Analyze, design & develop components or processes (by using knowledge of algorithms, security , DBMS , Object Oriented Software Engineering, Digital Image Processing, Research Methodology, Network, Artificial Intelligence and Big Data concepts) to evaluate socially relevant issues and provide solutions."
61,1002,42,Learn and apply appropriate modern techniques and tools to solve complex Computer Science & Engineering problems.
62,1002,42,"Develop software systems that would perform tasks related to Research, Education and Training /E-governance."
63,1001,37,Provide effective and efficient real time solutions to Electrical Engineering problems based on acquired knowledge so as to empower industry and society.
64,1002,44,Provide effective and efficient real time solutions to Electrical Engineering problems based on acquired knowledge so as to empower industry and society.
65,1002,48,Provide effective and efficient real time solutions to Electrical Engineering problems based on acquired knowledge so as to empower industry and society.
66,1001,37,Enhance research skills to develop sustainable solutions to Complex Electrical and Electronic Engineering problems.
67,1002,44,Enhance research skills to develop sustainable solutions to Complex Electrical and Electronic Engineering problems.
68,1002,48,Enhance research skills to develop sustainable solutions to Complex Electrical and Electronic Engineering problems.
69,1001,37,Acquire managerial skills and ethical values to develop oneself as a true leader and team player.
70,1002,44,Acquire managerial skills and ethical values to develop oneself as a true leader and team player.
71,1002,48,Acquire managerial skills and ethical values to develop oneself as a true leader and team player.
72,1002,72,To enable students to modify and upgrade the present computing techniques to the  meet the increasing challenges in structural engineering.
73,1002,72,To bring awareness to the students to have commitment in the socioeconomic progress of the society.
74,1002,46,To enable students to modify and upgrade the present computing techniques to meet the increasing challenges in structural engineering and construction management
75,1002,46,To bring awareness to the students to have commitment in the socioeconomic progress of the society.
76,1002,45,"Apply profound engineering knowledge in the domains of mechanics and design engineering
to analyze and solve real life as well as real time technical problems"
77,1002,45,"Apply mechanical engineering knowledge to analyze and design sound thermal and fluid
systems"
78,1002,45,"Develop and implement modern manufacturing practices and manage a production floor
efficiently"
79,1002,75,Successfully apply the knowledge of principles of Nanoscience and technology to identify and solve the real-life problems and develop novel applications in relevant areas.
80,1002,75,Foster research skills to develop sustainable innovations in interdisciplinary research areas.
81,1002,75,Acquire essential managerial skills and ethical values to develop oneself as a true leader and a team player.
82,1001,34,"To identify, formulate and solve civil engineering problems by applying knowledge of science,mathematics and engineering leveraging skills, techniques and various modern tools"
83,1001,34,"To meet desired economic, environmental, ethical, and sustainability constraints while designing civil engineering system or elements"
84,1001,34,To manifest professional and ethical responsibilities while discharging duties
