pcid,comid,psoid,wtid
22,105,25,2
23,126,32,1
24,126,33,2
25,110,31,2
26,94,23,1
27,141,37,3
28,142,37,3
29,143,37,3
30,144,37,3
31,145,37,3
32,141,39,2
33,142,39,2
34,143,39,2
35,144,39,2
36,145,39,2
37,106,25,2
38,106,28,2
39,107,25,3
40,107,28,2
41,108,25,2
42,108,31,2
43,109,28,2
44,109,31,2
45,110,25,2
46,110,28,2
47,111,25,2
48,112,25,2
49,112,28,2
50,131,25,2
51,131,28,2
52,132,25,2
53,132,31,2
54,133,28,2
55,133,31,2
56,134,25,2
57,134,28,2
58,134,31,2
59,272,37,1
60,273,37,1
61,274,37,1
62,306,37,3
63,274,38,1
64,275,38,1
65,307,37,3
66,276,38,1
67,308,37,2
68,272,38,1
69,309,37,2
70,310,37,2
71,275,37,1
72,310,38,3
73,276,37,1
74,306,38,3
75,307,38,3
76,308,38,3
77,309,38,3
78,309,39,2
79,310,39,1
80,306,39,2
81,307,39,1
82,272,39,2
83,308,39,2
84,273,38,1
85,273,39,2
86,274,39,2
87,275,39,2
88,276,39,2
89,277,37,2
90,277,38,3
91,277,39,3
92,278,37,3
93,278,38,1
94,278,39,2
95,279,37,3
96,279,38,1
97,279,39,2
98,280,37,3
99,280,38,2
100,280,39,3
101,281,37,3
102,281,38,2
103,281,39,3
104,311,40,3
105,311,41,1
106,311,42,1
107,312,41,3
108,105,28,3
109,350,37,1
110,351,37,2
111,352,37,1
112,353,37,1
113,354,37,1
114,258,37,3
115,258,38,2
116,190,25,3
117,192,28,3
118,195,31,3
119,466,23,2
120,466,27,2
121,466,30,2
122,467,23,2
123,467,27,2
124,467,30,2
125,468,23,2
126,468,27,2
127,468,30,2
128,469,23,2
129,469,27,2
130,469,30,2
131,470,23,2
132,470,27,2
133,470,30,2
134,471,23,2
135,471,27,2
136,471,30,2
137,472,23,2
138,473,23,1
139,474,23,1
140,474,27,1
141,475,27,2
142,472,30,1
143,473,30,2
144,476,30,3
145,313,40,1
146,313,42,1
147,316,43,1
148,526,23,3
149,527,23,3
150,528,23,3
151,529,23,3
152,530,23,3
153,531,23,3
154,526,27,2
155,527,27,2
156,528,27,2
157,529,27,2
158,530,27,2
159,531,27,2
160,526,30,1
161,527,30,1
162,528,30,1
163,529,30,1
164,541,23,3
165,530,30,1
166,531,30,1
167,543,27,3
168,545,27,3
169,542,30,3
170,350,38,3
171,350,39,3
172,106,31,1
173,259,37,3
174,258,39,3
175,259,38,3
176,130,25,2
177,383,28,2
178,130,31,1
179,383,31,2
180,259,39,3
181,260,37,1
182,260,38,1
183,260,39,2
184,262,39,3
185,262,37,1
186,262,38,2
187,552,23,2
188,555,30,3
189,557,27,3
190,520,25,3
191,522,28,2
192,523,31,1
193,351,38,3
194,351,39,3
195,352,38,3
196,352,39,1
197,353,38,3
198,353,39,2
199,354,38,3
200,354,39,2
201,261,37,1
202,261,38,3
203,261,39,1
204,630,37,3
205,631,37,3
206,632,37,3
207,633,37,3
208,634,37,3
209,635,37,3
210,630,38,3
211,631,38,3
212,632,38,3
213,633,38,3
214,634,38,3
215,635,38,3
216,630,39,3
217,631,39,3
218,632,39,3
219,633,39,3
220,634,39,3
221,635,39,3
222,674,23,1
223,675,23,1
224,676,23,2
225,677,23,1
226,678,23,1
227,674,27,1
228,675,27,2
229,676,27,1
230,677,27,1
231,678,27,1
232,674,30,1
233,675,30,2
234,676,30,1
235,677,30,1
236,678,30,1
237,658,23,2
238,659,27,2
239,658,30,2
240,668,30,2
241,669,23,1
242,672,27,1
243,113,25,1
244,151,25,1
245,153,25,1
246,154,25,1
247,155,22,1
248,155,26,1
249,156,22,1
250,157,26,1
251,158,22,1
252,159,22,1
253,160,22,1
254,113,28,3
255,105,31,3
256,119,48,3
257,702,47,3
258,702,48,3
259,702,49,3
260,121,47,3
261,703,47,3
262,704,47,3
263,119,47,3
264,705,48,3
265,706,49,3
266,707,47,3
267,696,47,2
268,697,47,2
269,698,47,2
270,699,47,2
271,700,47,2
272,701,47,2
273,739,47,1
274,740,47,3
275,741,47,3
276,742,47,3
277,743,47,1
278,739,48,1
279,740,48,2
280,741,48,3
281,742,48,3
282,743,48,1
283,739,49,2
284,684,23,1
285,740,49,3
286,685,23,2
287,741,49,2
288,686,23,1
289,742,49,2
290,743,49,3
291,687,23,1
292,688,23,1
293,689,23,1
294,686,27,1
295,687,27,1
296,688,27,2
297,689,27,1
298,686,30,1
299,690,25,1
300,691,25,2
301,692,25,1
302,693,25,1
303,694,25,1
304,695,25,1
305,690,28,1
306,693,28,1
307,694,28,1
308,695,28,1
309,690,31,1
310,691,31,1
311,694,31,1
312,695,31,1
313,733,25,2
314,734,25,2
315,735,25,3
316,736,25,2
317,737,25,2
318,738,25,2
319,733,28,3
320,734,28,2
321,735,28,2
322,736,28,2
323,737,28,2
324,738,28,2
325,733,31,3
326,734,31,3
327,735,31,2
328,736,31,2
329,737,31,2
330,738,31,2
331,282,37,1
332,282,39,2
333,283,37,3
334,283,38,1
335,283,39,3
336,284,37,3
337,284,38,1
338,284,39,3
339,285,37,3
340,285,38,1
341,285,39,3
342,286,37,3
343,286,39,2
344,510,37,3
345,510,38,2
346,570,37,3
347,648,37,3
348,510,39,3
349,649,37,3
350,650,37,3
351,511,37,3
352,511,38,2
353,511,39,3
354,512,37,3
355,512,38,2
356,512,39,3
357,513,37,3
358,513,38,2
359,513,39,3
360,570,38,2
361,514,37,3
362,514,38,2
363,570,39,3
364,514,39,3
365,648,39,3
366,651,37,2
367,651,39,2
368,649,39,3
369,650,39,3
370,648,38,2
371,649,38,2
372,650,38,2
373,652,47,1
374,653,47,1
375,654,47,1
376,655,47,1
377,656,47,1
378,657,47,1
379,652,48,1
380,653,48,1
381,654,48,1
382,655,48,1
383,656,48,1
384,657,48,1
385,652,49,1
386,657,49,1
387,656,49,1
388,655,49,1
389,654,49,1
390,653,49,1
391,817,32,3
392,817,33,3
393,817,34,3
394,818,32,3
395,818,33,3
396,818,34,3
397,408,40,1
398,412,40,2
399,412,43,2
400,417,43,2
401,418,43,2
402,419,43,2
403,420,43,2
404,819,32,2
405,819,33,3
406,820,32,3
407,820,33,2
408,821,32,3
409,821,33,2
410,95,23,1
411,96,23,1
412,97,23,1
413,98,23,1
414,99,23,1
415,94,27,1
416,95,27,1
417,96,27,1
418,97,27,1
419,98,27,1
420,99,27,1
421,846,25,2
422,848,28,2
423,849,25,2
424,850,31,2
425,847,25,2
426,383,25,2
427,867,25,2
428,868,28,2
429,869,28,2
430,114,37,3
431,115,37,3
432,116,37,3
433,117,37,3
434,120,37,3
435,123,37,3
436,114,38,2
437,115,38,2
438,116,38,2
439,117,38,2
440,120,38,1
441,123,38,1
442,114,39,2
443,115,39,2
444,116,39,2
445,117,39,2
446,120,39,3
447,123,39,3
448,492,37,3
449,493,37,3
450,494,37,3
451,495,37,3
452,496,37,3
453,492,39,2
454,493,39,2
455,494,39,2
456,495,39,2
457,496,39,2
458,492,38,1
459,493,38,2
460,494,38,2
461,495,38,1
462,496,38,2
463,828,47,1
464,830,47,1
465,831,47,2
466,832,47,2
467,833,47,1
468,829,47,3
469,828,48,2
470,831,48,3
471,890,37,3
472,890,38,1
473,892,37,2
474,890,39,1
475,892,39,1
476,895,37,3
477,895,38,3
478,895,39,2
479,899,37,2
480,899,38,1
481,899,39,1
482,900,37,1
483,900,39,2
484,989,40,2
485,988,40,2
486,991,40,2
487,991,41,2
488,991,42,2
489,989,42,2
490,947,40,2
491,947,41,2
492,947,42,2
493,947,43,2
494,950,40,2
495,950,41,2
496,950,42,2
497,950,43,2
498,107,31,3
499,976,40,2
500,977,40,1
501,978,40,1
502,980,40,2
503,977,41,1
504,978,41,2
505,979,41,1
506,980,41,2
507,978,42,2
