questid,comId,question,groupId
3,24,Are you  able to Understand the Support society by participating in and encouraging technology transfer..,6
4,26,Survey QP 2,12
5,27,33333,9
14,50,sd ry r 5y ,5
13,28,adfhdfhdfhdfh,4
16,52,gh tyh th ,1
15,51,huhi,2
17,53,fg y th t ,3
18,55,yuyu,3
19,56,Could you understand fundamentals of SE,4
20,57,How was the group involvement,2
21,59,asfasgfasdg,1
22,60,afasfafaf add at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignmentsadd at the end of Manage Exams and Assignments,3
23,67,How was Sha Co2,2
24,69,Answer my question boy?,9
25,73,Seminar Co 1 was it good,-1
26,74,my wraqwrwr?,-1
27,71,ssdgsdgsdg,9
28,34,'',1
29,79,survey1,1
30,83,Pythom Lab1,11
31,84,Question3,7
32,85,ssssfg,9
33,86,fdgfh,10
34,87,Test CO Geology ?,1
35,93,Test Survey 6,3
36,311,How far you able to analyze the parameters by which the efficiency of cellular system can be enhanced,4
37,312,How far you able  to Analyze the various radio wave propagation models and select the appropriate one as per the requirements,4
38,313,How far you able to gain the  concepts of fading and evaluate the performance,4
39,314,How far you able to Evaluate different multiple access techniques,4
40,315,How far you  able to Understand the basic principles of GSM & CDMA technology,4
41,316,How far you able to Comprehend the features of CDMA digital cellular standards,4
42,385,How well  you are able to build  basic web pages using HTML,1
43,386,How well you can make use of CSS to style your web pages,1
44,387,How well you are able to make use of Javascript to build Dynamic content,1
45,388,How well you can implement usage of DOM?,4
46,389,How far you are able to implement the usage of XML,4
47,391,How well are you able to build interactive web applications using PHP?,4
48,136,"To what extent you are able to demonstrate the engineering and economic involvement in the planning, operation and control of power generation and transmission systems in electric utilities",12
49,137,To what extent you are able to Infer steady state and dynamic response of power system control,12
50,138,To what extent you are able to Interpret the nuances of unit commitment in power systems,12
51,139,To what extent you are able to Demonstrate the characteristics of a wide variety of thermal and hydroelectric power generation systems,12
52,140,To what extent you are able to Interpret the subtle concepts of energy exchanges between different power systems,12
53,135,To what extent you are able to Implement security functions of different types in the power system,12
54,438,To what extent you are able to Outline the general configuration of biomedical instruments and demonstrate the origin of bio electric signals.,12
55,440,To what extent you are able to Demonstrate the working of various biopotential electrodes as well as an ECG machine.,12
56,441,To what extent you are able to Identify the techniques generally adopted for biomedical measurements and signal analysis.,12
57,444,To what extent you are able to Illustrate the working of biomedical instruments utilizing signals from heart brain and lungs.,12
58,130,To what extend you are able to explain Activity life cycle in Android,3
59,399,Able to make use of XML wherever required,4
