sId,studentId,ssId,status,isattended,attendedDate,acid
1,4554,5144,1,1,3/23/2018 13:50,1
2,4571,5144,1,1,3/23/2018 13:51,1
3,4570,5144,1,1,3/23/2018 13:51,1
4,4554,5172,1,1,3/23/2018 13:51,1
5,4557,5144,1,1,3/23/2018 13:51,1
6,4546,5144,1,1,3/23/2018 13:51,1
7,4539,5144,1,1,3/23/2018 13:51,1
8,4552,5144,1,1,3/23/2018 13:51,1
9,4583,5144,1,1,3/23/2018 13:51,1
10,4554,5143,1,1,3/23/2018 13:51,1
11,4571,5172,1,1,3/23/2018 13:51,1
12,4546,5172,1,1,3/23/2018 13:52,1
13,4571,5143,1,1,3/23/2018 13:52,1
14,4566,5144,1,1,3/23/2018 13:52,1
15,4552,5172,1,1,3/23/2018 13:52,1
16,4570,5172,1,1,3/23/2018 13:52,1
17,4557,5172,1,1,3/23/2018 13:52,1
18,4583,5172,1,1,3/23/2018 13:52,1
19,4539,5172,1,1,3/23/2018 13:52,1
20,4542,5144,1,1,3/23/2018 13:53,1
21,4571,5142,1,1,3/23/2018 13:53,1
22,4546,5143,1,1,3/23/2018 13:53,1
23,4579,5144,1,1,3/23/2018 13:53,1
24,4541,5144,1,1,3/23/2018 13:53,1
25,4566,5172,1,1,3/23/2018 13:53,1
26,4539,5143,1,1,3/23/2018 13:53,1
27,4552,5143,1,1,3/23/2018 13:53,1
28,4571,5140,1,1,3/23/2018 13:53,1
29,4557,5143,1,1,3/23/2018 13:53,1
30,4554,5142,1,1,3/23/2018 13:53,1
31,4574,5144,1,1,3/23/2018 13:53,1
32,4543,5144,1,1,3/23/2018 13:54,1
33,4571,5146,1,1,3/23/2018 13:54,1
34,4528,5144,1,1,3/23/2018 13:54,1
35,4546,5142,1,1,3/23/2018 13:54,1
36,4564,5144,1,1,3/23/2018 13:54,1
37,4566,5143,0,1,3/23/2018 13:54,1
38,4574,5172,1,1,3/23/2018 13:54,1
39,4583,5143,1,1,3/23/2018 13:54,1
40,4552,5142,1,1,3/23/2018 13:54,1
41,4542,5172,1,1,3/23/2018 13:54,1
42,4577,5144,1,1,3/23/2018 13:54,1
43,4566,5143,1,1,3/23/2018 13:54,1
44,4551,5144,1,1,3/23/2018 13:54,1
45,4528,5172,1,1,3/23/2018 13:54,1
46,4571,5141,1,1,3/23/2018 13:54,1
47,4539,5142,1,1,3/23/2018 13:54,1
48,4546,5140,1,1,3/23/2018 13:54,1
49,4541,5172,1,1,3/23/2018 13:54,1
50,4570,5143,1,1,3/23/2018 13:55,1
51,4561,5144,1,1,3/23/2018 13:55,1
52,4554,5140,1,1,3/23/2018 13:55,1
53,4557,5142,1,1,3/23/2018 13:55,1
54,4528,5143,1,1,3/23/2018 13:55,1
55,4552,5140,1,1,3/23/2018 13:55,1
56,4548,5144,0,1,3/23/2018 13:55,1
57,4566,5142,1,1,3/23/2018 13:55,1
58,4574,5143,1,1,3/23/2018 13:55,1
59,4526,5144,1,1,3/23/2018 13:55,1
60,4583,5142,1,1,3/23/2018 13:55,1
61,4564,5172,1,1,3/23/2018 13:55,1
62,4568,5144,1,1,3/23/2018 13:55,1
63,4579,5172,1,1,3/23/2018 13:55,1
64,4573,5144,1,1,3/23/2018 13:55,1
65,4577,5172,1,1,3/23/2018 13:55,1
66,4548,5144,1,1,3/23/2018 13:55,1
67,4543,5172,1,1,3/23/2018 13:55,1
68,4541,5143,0,1,3/23/2018 13:55,1
69,4562,5144,0,1,3/23/2018 13:55,1
70,4542,5143,1,1,3/23/2018 13:56,1
71,4535,5144,1,1,3/23/2018 13:56,1
72,4528,5142,1,1,3/23/2018 13:56,1
73,4566,5140,1,1,3/23/2018 13:56,1
74,4539,5140,1,1,3/23/2018 13:56,1
75,4546,5146,1,1,3/23/2018 13:56,1
76,4526,5144,0,1,3/23/2018 13:56,1
77,4552,5146,1,1,3/23/2018 13:56,1
78,4570,5142,1,1,3/23/2018 13:56,1
79,4544,5144,1,1,3/23/2018 13:56,1
80,4557,5140,1,1,3/23/2018 13:56,1
81,4562,5144,0,1,3/23/2018 13:56,1
82,4541,5143,1,1,3/23/2018 13:56,1
83,4561,5172,1,1,3/23/2018 13:56,1
84,4574,5142,0,1,3/23/2018 13:56,1
85,4533,5144,1,1,3/23/2018 13:56,1
86,4579,5143,1,1,3/23/2018 13:56,1
87,4543,5143,1,1,3/23/2018 13:56,1
88,4560,5144,1,1,3/23/2018 13:57,1
89,4583,5140,1,1,3/23/2018 13:57,1
90,4577,5143,1,1,3/23/2018 13:57,1
91,4535,5144,0,1,3/23/2018 13:57,1
92,4573,5172,1,1,3/23/2018 13:57,1
93,4564,5143,1,1,3/23/2018 13:57,1
94,4562,5144,0,1,3/23/2018 13:57,1
95,4562,5144,0,1,3/23/2018 13:57,1
96,4562,5144,0,1,3/23/2018 13:57,1
97,4567,5144,1,1,3/23/2018 13:57,1
98,4562,5144,0,1,3/23/2018 13:57,1
99,4554,5146,1,1,3/23/2018 13:57,1
100,4533,5144,0,1,3/23/2018 13:57,1
101,4542,5142,1,1,3/23/2018 13:57,1
102,4574,5142,1,1,3/23/2018 13:57,1
103,4550,5144,0,1,3/23/2018 13:57,1
104,4566,5146,1,1,3/23/2018 13:57,1
105,4528,5140,1,1,3/23/2018 13:57,1
106,4581,5144,1,1,3/23/2018 13:57,1
107,4579,5143,0,1,3/23/2018 13:57,1
108,4547,5144,1,1,3/23/2018 13:57,1
109,4546,5141,1,1,3/23/2018 13:57,1
110,4526,5172,1,1,3/23/2018 13:57,1
111,4534,5144,1,1,3/23/2018 13:58,1
112,4575,5144,0,1,3/23/2018 13:58,1
113,4539,5146,1,1,3/23/2018 13:58,1
114,4568,5172,1,1,3/23/2018 13:58,1
115,4525,5144,1,1,3/23/2018 13:58,1
116,4551,5172,1,1,3/23/2018 13:58,1
117,4562,5144,0,1,3/23/2018 13:58,1
118,4562,5144,1,1,3/23/2018 13:58,1
119,4541,5142,1,1,3/23/2018 13:58,1
120,4548,5172,1,1,3/23/2018 13:58,1
121,4560,5172,1,1,3/23/2018 13:58,1
122,4550,5144,1,1,3/23/2018 13:58,1
123,4579,5143,0,1,3/23/2018 13:58,1
124,4570,5140,1,1,3/23/2018 13:58,1
125,4543,5142,1,1,3/23/2018 13:58,1
126,4573,5143,1,1,3/23/2018 13:58,1
127,4554,5141,1,1,3/23/2018 13:58,1
128,4544,5172,1,1,3/23/2018 13:58,1
129,4566,5141,1,1,3/23/2018 13:58,1
130,4557,5146,1,1,3/23/2018 13:58,1
131,4567,5172,0,1,3/23/2018 13:58,1
132,4533,5172,1,1,3/23/2018 13:58,1
133,4575,5144,1,1,3/23/2018 13:58,1
134,4574,5140,1,1,3/23/2018 13:58,1
135,4528,5146,1,1,3/23/2018 13:58,1
136,4542,5140,1,1,3/23/2018 13:59,1
137,4577,5142,1,1,3/23/2018 13:59,1
138,4583,5146,1,1,3/23/2018 13:59,1
139,4548,5143,1,1,3/23/2018 13:59,1
140,4535,5172,1,1,3/23/2018 13:59,1
141,4547,5172,1,1,3/23/2018 13:59,1
142,4562,5172,0,1,3/23/2018 13:59,1
143,4565,5144,1,1,3/23/2018 13:59,1
144,4526,5143,1,1,3/23/2018 13:59,1
145,4539,5141,1,1,3/23/2018 13:59,1
146,4538,5144,1,1,3/23/2018 13:59,1
147,4551,5143,1,1,3/23/2018 13:59,1
148,4552,5141,1,1,3/23/2018 13:59,1
149,4541,5146,1,1,3/23/2018 13:59,1
150,4563,5144,1,1,3/23/2018 13:59,1
151,4581,5172,1,1,3/23/2018 13:59,1
152,4561,5143,0,1,3/23/2018 14:00,1
153,4567,5172,1,1,3/23/2018 14:00,1
154,4550,5144,0,1,3/23/2018 14:00,1
155,4554,5141,0,1,3/23/2018 14:00,1
156,4564,5142,1,1,3/23/2018 14:00,1
157,4525,5172,1,1,3/23/2018 14:00,1
158,4575,5144,0,1,3/23/2018 14:00,1
159,4560,5143,1,1,3/23/2018 14:00,1
160,4528,5141,1,1,3/23/2018 14:00,1
161,4569,5144,1,1,3/23/2018 14:00,1
162,4576,5144,1,1,3/23/2018 14:00,1
163,4534,5172,1,1,3/23/2018 14:00,1
164,4547,5172,0,1,3/23/2018 14:00,1
165,4574,5146,1,1,3/23/2018 14:00,1
166,4562,5172,0,1,3/23/2018 14:00,1
167,4536,5144,1,1,3/23/2018 14:00,1
168,4530,5144,1,1,3/23/2018 14:00,1
169,4529,5144,1,1,3/23/2018 14:00,1
170,4568,5143,1,1,3/23/2018 14:01,1
171,4540,5144,1,1,3/23/2018 14:01,1
172,4561,5143,1,1,3/23/2018 14:01,1
173,4579,5142,0,1,3/23/2018 14:01,1
174,4533,5143,1,1,3/23/2018 14:01,1
175,4583,5141,1,1,3/23/2018 14:01,1
176,4542,5146,1,1,3/23/2018 14:01,1
177,4543,5140,1,1,3/23/2018 14:01,1
178,4544,5143,1,1,3/23/2018 14:01,1
