branchId,branchName,courseId,branchstatus,deptCode,shortCode
33,Mechanical Engineering(Automobile),1001,1,27,MA
34,Civil Engineering,1001,1,21,CE
35,Computer Science & Engineering,1001,1,24,CSE
36,Electronics & Communication Engineering,1001,1,23,ECE
37,Electrical & Electronics Engineering,1001,1,26,EEE
38,Information Technology,1001,1,25,IT
39,Mechanical Engineering,1001,1,20,ME
41,Communication Engineering,1002,1,23,M.CE
42,Computer Science,1002,1,24,M.CSE
43,Metallurgical & Materials Engineering,1001,1,35,MT
44,Power Electronics & Power Systems,1002,1,26,PEPS
45,Machine Design,1002,1,20,MD
46,Struct Engg & Construction Management,1002,1,21,SECM
47,Chemical Engineering,1001,1,36,CH
48,ENERGY SYSTEMS,1002,1,26,ES
69,LATERAL ENTRY,1003,1,30,LE
68,REGULAR,1003,1,30,REG
70,INTEGRATED,1003,1,30,INT
71,RL,0,1,34,RL
72,Computer Aided Structural Engineering,1002,1,21,CASE
75,Nano Technology,1002,1,36,NT
76,Ph.D,1005,1,26,PhD
77,PhD in Basic Science,1005,1,22,NULL
78,Food Engineering & Technology,1001,1,36,FE
