semId,semName,semStatus,semorder,semcode
1,MCADDS1,1,41,S1
2,S3,1,3,S3
3,S4,1,4,S4
4,S5,1,5,S5
5,S6,1,6,S6
6,S7,1,7,S7
7,S8,1,8,S8
8,S1S2,1,,
10,MTS2,1,11,S2
11,MCAS6,1,20,S6
12,MCAS4,1,18,S4
13,MCAS2,1,16,S2
14,MTS1,1,10,S1
15,MTS3,1,12,S3
16,MTS4,1,13,S4
17,MCAS1,1,15,S1
18,MCAS3,1,17,S3
19,MCAS5,1,19,S5
23,MCALES1,1,22,S1
24,RL,1,,
25,MCADDS2,1,42,S2
26,MCALES5,0,26,S5
27,MCALES4,1,25,S4
28,Alumni,1,,
29,S1,1,1,S1
30,BTCE2015S1A,0,,
31,MCADDS3,1,43,S3
32,S2,1,2,S2
33,MCADDS4,1,44,S4
34,MCADDS5,1,45,S5
35,MCAINTS1,1,30,S1
37,MCAINTS2,1,31,S2
38,MCALES2,1,23,S2
39,MCADDS6,1,46,S6
40,MCALES6,0,27,S6
41,MCAINTS3,1,32,S3
42,MCADDS7,1,47,S7
43,MCADDS8,1,48,S8
44,MCAINTS4,1,33,S4
45,MCALES3,1,24,S3
46,MCAINTS5,1,34,S5
47,MCAINTS6,1,35,S6
48,PhDS1,1,,
49,MCADDS9,1,49,S9
50,MCADDS10,1,50,S10
51,MTMD 2018-2020,0,,
52,MCADDS10,0,,
53,MCAINTS7,1,36,S7
54,MCAINTS8,1,37,S8
55,MCAINTS9,1,38,S9
56,MCAINTS10,1,39,S10
