batchId,batchName,iscurrent,batchStatus,univId,acId,batch
135,BTCH 2014-2018,1,1,1,2,2014-2018
134,BTAU 2014-2018,1,1,1,2,2014-2018
133,MCALE 2014-2016,0,1,0,2,2014-2016
132,MCADD 2014-2019,1,1,1,2,2014-2019
94,BTAU 2011-2015,0,1,0,0,2011-2015
95,BTCE 2011-2015,0,1,0,0,2011-2015
96,BTCS 2011-2015,0,1,0,0,2011-2015
97,BTEE 2011-2015,0,1,0,0,2011-2015
98,BTEC 2011-2015,0,1,0,0,2011-2015
99,BTIT 2011-2015,0,1,0,0,2011-2015
100,BTME 2011-2015,0,1,0,0,2011-2015
101,BTCE 2012-2016,0,1,1,0,2012-2016
130,MCA 2013-2016,0,1,1,1,2013-2016
103,BTAU 2012-2016,0,1,1,0,2012-2016
104,BTCS 2012-2016,0,1,1,0,2012-2016
105,BTEE 2012-2016,0,1,1,0,2012-2016
106,BTEC 2012-2016,0,1,1,0,2012-2016
107,BTIT 2012-2016,0,1,1,0,2012-2016
108,BTME 2012-2016,0,1,1,0,2012-2016
109,BTMT 2012-2016,0,1,1,0,2012-2016
129,MCA 2012-2015,0,1,0,0,2012-2015
111,BTCH 2013-2017,0,1,1,1,2013-2017
112,BTAU 2013-2017,0,1,1,1,2013-2017
113,BTCE 2013-2017,0,1,1,1,2013-2017
114,BTCS 2013-2017,0,1,1,1,2013-2017
115,BTEE 2013-2017,0,1,1,1,2013-2017
116,BTEC 2013-2017,0,1,1,1,2013-2017
117,BTIT 2013-2017,0,1,1,1,2013-2017
118,BTME 2013-2017,0,1,1,1,2013-2017
119,MTMD 2013-2015,0,1,0,1,2013-2015
120,MTSECM 2013-2015,0,1,0,1,2013-2015
121,MTCS 2013-2015,0,1,0,1,2013-2015
122,MTCE 2013-2015,0,1,0,1,2013-2015
123,MTES 2013-2015,0,1,0,1,2013-2015
124,MTPEPS 2013-2015,0,1,0,1,2013-2015
125,BTMT 2013-2017,0,1,1,1,2013-2017
131,MCA 2014-2017,1,1,1,2,2014-2017
127,DDMCA 2014-2019,0,1,1,2,2014-2019
136,BTCE 2014-2018,1,1,1,2,2014-2018
137,BTCS 2014-2018,1,1,1,2,2014-2018
138,BTME 2014-2018,1,1,1,2,2014-2018
139,BTEE 2014-2018,1,1,1,2,2014-2018
140,BTEC 2014-2018,1,1,1,2,2014-2018
141,BTMT 2014-2018,1,1,1,2,2014-2018
142,BTIT 2014-2018,1,1,1,2,2014-2018
143,RL,1,1,0,0,
144,BTMT 2015-2019,1,1,2,3,2015-2019
145,BTCH 2015-2019,1,1,2,3,2015-2019
146,BTCH 2014-2016,1,1,1,2,2014-2016
147,BTAU 2015-2019,1,1,2,3,2015-2019
148,BTCH 2015-2019,1,1,2,3,2015-2019
149,BTCE 2015-2019,1,1,2,3,2015-2019
150,BTCS 2015-2019,1,1,2,3,2015-2019
