classId,className,branchId,batchId,semesterId,acid
1,MCA2012S5,68,129,19,5
2,MCA2013S3,68,130,18,5
3,MCA2014S1,68,131,17,5
4,MCADD2014S1,70,132,1,5
5,MCALE2014S1,69,133,23,5
6,BTAU2011S8,33,94,7,5
7,BTAU2012S6,33,103,5,5
8,BTAU2013S4,33,112,3,5
9,BTAU2014S1S2,33,135,8,5
10,BTCH2013S4,47,111,3,5
11,BTCH2014S1S2,47,134,8,5
12,BTCE2011S8A,34,95,7,5
13,BTCE2011S8B,34,95,7,5
14,BTCE2012S6A,34,101,5,5
15,BTCE2012S6B,34,101,5,5
16,BTCE2013S4A,34,113,3,5
17,BTCE2013S4B,34,113,3,5
18,BTCE2014S1S2A,34,136,8,5
19,BTCE2014S1S2B,34,136,8,5
20,BTCS2014S1S2A,35,137,8,5
21,BTCS2014S1S2B,35,137,8,5
22,BTCS2011S8A,35,96,7,5
23,BTCS2011S8B,35,96,7,5
24,BTCS2012S6A,35,104,5,5
25,BTCS2012S6B,35,104,5,5
26,BTCS2013S4A,35,114,3,5
27,BTCS2013S4B,35,114,3,5
28,BTEE2011S8,37,97,7,5
29,BTEE2012S6,37,105,5,5
30,BTEE2013S4,37,115,3,5
31,BTEE2014S1S2,37,139,8,5
32,BTEC2011S8A,36,98,7,5
33,BTEC2011S8B,36,98,7,5
34,BTEC2012S6A,36,106,5,5
35,BTEC2012S6B,36,106,5,5
36,BTEC2013S4A,36,116,3,5
37,BTEC2013S4B,36,116,3,5
38,BTEC2014S1S2A,36,140,8,5
39,BTEC2014S1S2B,36,140,8,5
40,BTIT2011S8,38,99,7,5
41,BTIT2012S6,38,107,5,5
42,BTIT2013S4,38,117,3,5
43,BTIT2014S1S2,38,142,8,5
44,BTMT2012S6,43,109,5,5
45,BTMT2013S4,43,125,3,5
46,BTMT2014S1S2,43,141,8,5
47,BTME2011S8A,39,100,7,5
48,BTME2011S8B,39,100,7,5
49,BTME2012S6A,39,108,5,5
50,BTME2012S6B,39,108,5,5
51,BTME2013S4A,39,118,3,5
52,BTME2013S4B,39,118,3,5
53,BTME2014S1S2A,39,138,8,5
54,BTME2014S1S2B,39,138,8,5
55,Removed List,0,0,0,9
56,MCADD2014S2,70,132,25,5
57,MCALE2014S4,69,133,27,4
58,MCA2014S2,68,131,13,5
59,MCA2013S4,68,130,12,5
60,MCA2012-2015,68,129,11,5
61,BTCS2014S3A ,35,137,2,6
62,BTCS2014S3B ,35,137,2,6
63,BTCS2013S5A ,35,114,4,7
64,BTCS2013S5B,35,114,4,4
65,BTCS2013S7A ,35,104,6,8
66,BTCS2013S7B ,35,104,4,8
67,BTCS2012S7A,35,104,6,4
68,BTCS2012S7B,35,104,6,4
69,BTAU2014S3,33,134,2,4
70,BTAU2014S5,33,112,4,4
71,BTAU2012S7,33,103,6,4
109,BTAU2015S1,33,147,29,4
73,BTAU2013S5,33,112,4,4
74,BTCE2014S3A,34,136,2,4
75,BTCE2014S3B,34,136,2,4
76,BTCE2013S5A,34,113,4,4
77,BTCE2013S5B,34,113,4,4
78,BTCE2012S7A,34,101,6,4
79,BTCE2012S7B,34,101,6,4
80,BTIT2014S3,38,142,2,4
81,BTIT2013S5,38,117,4,4
82,BTIT2012S7,38,107,6,4
83,BTME2014S3A,39,138,2,4
84,BTME2014S3B,39,138,2,4
85,BTME2013S5B,39,118,4,4
86,BTMT2015S1,43,144,29,4
87,BTMT2014S3,43,141,2,4
88,BTMT2013S5,43,125,4,4
89,BTMT2012S7,43,109,6,4
90,BTME2014S7,39,108,6,0
91,BTME2012S7B,39,108,6,4
92,BTEC2012S7A,36,106,6,4
93,BTEC2012S7B,36,106,6,4
94,BTEC2013S5A,37,116,4,0
95,BTEC2013S5B,36,116,4,4
96,BTEC2014S3A,36,140,2,4
97,BTEC2014S3B,37,140,2,0
98,BTME2012S7A,39,108,6,4
99,BTEEE2014S3,37,139,2,4
100,BTEEE2013S5,37,115,4,4
101,BTEEE2012S7,37,105,6,4
102,BTEC2014S3A,36,140,2,0
103,BTEC2014S3B,36,140,2,4
104,BTEC2013S5A,36,116,4,4
105,BTEC2013S5B,36,116,4,0
106,BTCH2014S3,47,146,2,4
107,BTCH2013S5,47,111,4,4
108,BTME2013S5A,39,118,4,4
110,BTCH2015S1,47,148,29,4
111,BTCE2015S1A,34,149,29,4
112,BTCE2015S1B,34,149,29,4
113,BTCS2015S1A,35,150,29,4
114,BTCS2015S1B,35,150,29,4
115,BTEC2015S1A,36,151,29,4
116,BTEC2015S1B,36,151,29,4
117,BTME2015S1A,39,152,29,4
118,BTME2015S1B,39,152,29,4
119,BTEE2015S1,37,165,29,4
120,BTEE2015S1,37,165,29,0
121,BTEE2015S1,37,165,29,0
122,BTEE2015S1,37,165,29,0
123,BTEE2015S1,37,165,29,0
124,BTIT2015S1,38,166,29,4
125,MCA2015S1,68,167,17,4
126,MCALE2015S3,69,169,18,3
128,MCADD2015S1,70,170,1,4
129,MTCE2015S1,41,171,29,4
130,MTES2015S1,48,172,14,4
131,MTPEPS2015S1,44,173,14,4
132,MTCASE2015S1,72,174,14,4
133,MTMD2015S1,45,175,14,4
134,MTCSE2015S1,42,176,14,4
135,MTNT2015S1,75,177,14,4
136,MTSECM2015S1,46,178,14,4
137,MTNT2015S1A,75,179,14,0
138,MCA2012S6,68,129,5,0
139,MTCS2014S3,42,180,15,4
142,MCA2013S5,68,130,19,4
143,MCA2014S3,68,131,18,4
144,MCALE2014S5,69,133,19,3
145,MTCE2015S2,41,171,10,4
146,MCADD2014S3,70,127,31,4
147,BTAU2015S2,33,147,32,4
148,BTME2015S2A,39,152,32,4
149,BTME2015S2B,39,152,32,4
150,BTCE2015S2A,34,149,32,4
151,BTCE2015S2B,34,149,32,4
152,BTIT2015S2,38,166,32,4
153,BTMT2015S2,43,144,32,4
154,BTCS2015S2A,35,150,32,4
155,BTCS2015S2B,35,150,32,4
156,BTEC2015S2A,36,151,32,4
157,BTEC2015S2B,36,151,32,4
158,BTEEE2015S2,37,165,32,4
161,MTCE2014S3,41,180,15,4
160,BTCH2015S2,47,148,32,4
162,2015 MCA Alumni,68,129,28,0
163,BTCS2014S4A,35,137,3,4
164,BTCS2014S4B,35,137,3,4
166,BTCS2013S6A,35,114,5,4
167,BTCS2013S6B,35,114,5,4
168,BTCS2012S8A,35,104,7,4
169,BTCS2012S8B,35,104,7,4
170,MTCSE2015S2,42,176,10,4
171,BTCH2014S4,47,135,3,4
172,BTCH2013S6,47,111,5,4
173,BTAU2013S6,33,112,5,4
174,BTMT2014S4,43,141,3,4
175,BTMT2013S6,43,125,5,4
176,BTMT2012S8,43,109,7,4
177,BTAU2012S8,33,103,7,4
180,BTIT2012S8,38,107,7,4
179,BTAU2014S4,33,134,3,4
181,BTIT2013S6,38,117,5,4
182,BTIT2014S4,38,142,3,4
183,BTEC2012S8A,36,106,7,4
184,BTEC2012S8B,36,106,7,4
185,BTEC2013S6A,36,116,5,4
186,BTEC2013S6B,36,116,5,4
187,BTEC2014S4A,36,140,3,4
188,BTEC2014S4B,36,140,3,4
189,BTCE2014S4A,34,136,3,4
190,BTCE2014S4B,34,136,3,4
191,BTCE2013S6A,34,113,5,4
192,BTCE2013S6B,34,113,5,4
193,BTCE2012S8A,34,101,7,4
194,BTCE2012S8B,34,101,7,4
195,BTME2013S6A,39,125,5,4
196,BTME2013S6B,39,118,5,4
197,BTME2014S4A,39,138,3,4
198,BTME2014S4B,39,138,3,4
199,BTME2012S8A,39,108,7,4
200,BTME2012S8B,39,108,7,4
201,MTMD2015S2,45,175,10,4
202,BTEEE2014S4,37,139,3,4
203,BTEEE2013S6,37,115,5,4
204,BTEEE2012S8,37,105,7,4
205,MTCASE2015S2,72,174,10,4
206,MTSECM2015S2,46,178,10,4
208,MTPEPS2015S2,44,173,10,4
209,MTES2015S2,48,172,10,4
210,MTCS2015S2,42,176,10,4
211,MTPEPS2014S3,44,181,15,4
212,MTES2014S3,48,182,15,4
213,MCADD2015S2,70,170,25,4
214,MTNT2015S2,75,177,10,4
215,MTCS2014S4,42,180,16,4
216,MCADD2014S4,70,132,33,4
217,MCA2015S2,68,168,13,4
218,MTCE2014S4,41,183,16,4
219,MCA2013-2016 ,68,130,11,7
220,MCALE2014-2016,69,133,11,3
221,MCALE2015S4,69,169,27,3
222,MCA2014S4 ,68,131,12,6
223,BTAU2016S1,33,184,29,3
224,BTCH2016S1,47,185,29,3
225,BTCE2016S1A,34,186,29,3
226,BTCE2016S1B,34,186,29,3
227,BTCS2016S1A,35,187,29,3
228,BTCS2016S1B,35,187,29,3
229,BTCS2016S1,37,188,29,0
230,BTEE2016-20,37,188,29,0
231,BTEC2016S1A,36,189,29,3
232,BTEC2016S1B,36,189,29,3
233,BTIT2016S1,38,190,29,3
234,BTME2016S1A,39,191,29,3
235,BTME2016S1B,39,191,29,3
236,BTMT2016S1,43,192,29,3
237,BTAU2015S3,33,147,2,3
238,BTAU2014S5,33,134,4,3
239,BTAU2013S7,33,112,6,3
240,BTCH2015S3,47,148,2,3
241,BTCH2014S5,47,135,4,3
242,BTCH2013S7,47,111,6,3
243,BTCE2015S3A,34,149,2,3
244,BTCE2015S3B,34,149,2,3
245,BTCE2014S5A,34,136,4,3
246,BTCE2014S5B,34,136,4,3
247,BTCE2013S7A,34,113,6,3
248,BTCE2013S7B,34,113,6,3
249,BTCS2015S3A,35,150,2,3
250,BTCS2015S3B,35,150,2,3
251,BTCS2015S5A,35,137,4,0
252,BTCS2014S5B,35,137,4,3
253,BTCS2014S5A,35,137,4,3
254,BTCS2013S7A,35,114,6,3
255,BTCS2013S7B,35,114,6,3
256,BTEE2015S3,37,165,2,3
257,BTEE2014S5,37,139,4,3
258,BTEE2013S7,37,115,6,3
259,BTEC2015S3A,36,151,2,3
260,BTEC2015S3B,36,151,2,3
261,BTEC2014S5A,36,140,4,3
262,BTEC2014S5B,36,140,4,3
263,BTEC2013S7A,36,116,6,3
264,BTEC2013S7B,36,116,6,3
265,BTIT2015S3,38,166,2,3
266,BTIT2014S5,38,142,4,3
267,BTIT2013S7,38,117,6,3
268,BTME2015S3A,39,152,2,3
269,BTME2015S3B,39,152,2,3
270,BTME2014S5A,39,138,4,3
271,BTME2014S5B,39,138,4,3
272,BTME2013S7A,39,118,6,3
273,BTME2013S7B,39,118,6,3
274,BTMT2015S3,43,144,2,3
275,BTMT2014S5,43,141,4,3
276,BTMT2013S7,43,125,6,3
277,BTEE2016S1,37,188,29,3
278,BTEE2016S1,37,188,29,0
279,MCA2016S1,70,0,17,0
280,MCAINT2016S1,70,193,35,3
281,MCA2016S1,68,194,17,3
282,MCALE2016S1,69,195,23,3
285,MTCASE2015S3,72,174,15,3
283,MCADD2014S5,70,127,34,3
284,MTCS2015S3,42,176,15,3
286,MTSECM2015S3,46,178,15,3
287,MTCS2016S1,42,196,14,3
288,MTPEPS2015S3,44,173,15,3
289,MTES2015S3,48,172,15,3
290,MTPEPS2016S1,44,197,14,3
291,MTES2016S1,48,198,14,3
292,MTNT2016S1,75,199,14,3
293,MTCE2015S3,41,171,15,3
294,MTCE2016S1,41,200,14,3
295,MTNT2015S3,75,179,15,3
296,MTCASE2016S1,72,201,14,3
297,MTSECM2016S1,46,202,14,3
298,MCADD2015S3,70,170,31,3
299,MTMD2016S1,45,204,14,3
300,MTMD2015S3,45,175,15,3
301,MCA2015S3,68,168,18,3
302,MCALE2015S5,69,169,26,1
303,MCA2014S5,68,131,19,3
304,MCAINT2016S2,70,193,37,3
305,MCALE2016S2,69,195,38,3
306,MCA2016S2,68,194,13,3
307,MCADD2015S4,70,203,33,3
308,MCADD2014S6,70,132,39,0
309,BTAU2016S2,33,184,32,3
310,BTAU2015S4,33,147,3,3
311,BTAU2014S6,33,134,5,3
312,BTAU2013S8,33,112,7,3
313,BTCH2016S2A,47,185,32,3
314,BTCH2015S4A,47,148,3,3
315,BTCH2014S6,47,135,5,3
316,BTCH2013S8,47,111,7,3
317,BTCE2016S2,34,186,32,0
318,BTCE2016S2A,34,186,32,3
319,BTCE2016S2B,34,186,32,3
320,BTCE2015S4A,34,149,3,3
321,BTCE2015S4B,34,149,3,3
322,BTCE2014S6A,34,136,5,3
323,BTCE2014S6B,34,136,5,3
324,BTCE2013S8A,34,111,7,3
325,BTCE2013S8B,34,113,7,3
326,BTCS2016S2A,35,187,32,3
327,BTCS2016S2B,35,187,32,3
328,BTCS2015S4A,35,150,3,3
329,BTCS2015S4B,35,150,3,3
330,BTCS2014S6A,35,140,5,3
331,BTCS2014S6B,35,137,5,3
332,BTCS2013S8A,35,114,7,3
333,BTCS2013S8B,35,114,7,3
334,BTEE2016S2,37,188,32,3
335,BTEE2015S4,37,165,3,3
336,BTEE2014S6,37,139,5,3
337,BTEE213S8,37,115,7,0
338,BTEE2013S8,37,115,7,3
339,BTEC2016S2A,36,189,32,3
340,BTEC2016S2B,36,189,32,3
341,BTEC2015S4A,36,151,3,3
342,BTEC2015S4B,36,151,3,3
343,BTEC2014S6A,36,140,5,3
