subId,subjectName,subjectType,subName
1,Probability and Statistics,Theory,INMCA202
2,Data Structures and Analysys of Computer Algorithms,Theory,DS
3,Microprocessors and Embedded Systems,Theory,MES
4,Operating Systems,Theory,IT305
5,Object Oriented Programming with C++,Theory,OOP
6,C++ Lab,Lab,C++ Lab
7,Data Structures Lab in C,Lab,DS Lab
8,Operations Research,Theory,RLMCA108
9,Computer Networks,Theory,RLMCA201
10,Linux and Shell Programming,Theory,Linux
11,Object Oriented Modeling and Design,Theory,OOMD
12,Soft Computing,Theory,CS361
13,Linux Lab,Lab,Linux Lab
14,Open Source Lab,Lab,Open Lab
15,Technical Communication,Theory,INMCA102
16,Digital Systems & Logic Designs,Theory,DSLD
17,Data Structures- C,Theory,DS
18,Software Lab- III( Data Structures lab in C),Lab,DS Lab
19,Software Lab-1V(C ++Lab),Lab,C++ Lab
20,Statistics- II,Theory,Statistics
21,Other Activities,Theory,Other
22,High Performance Computing,Theory,HPC
23,ENGINEERING MATHEMATICS II,Theory,EMII
24,ECONOMICS AND COMMUNICATION SKILLS,Theory,ECS
25,FLUID MECHANICS AND HYDRAULIC MACHINERY,Theory,FMHM
26,Metallurgy & Materials Engineering,Theory,ME210
27,PROGRAMMING IN C,Theory,C
28,STRENGTH OF MATERIALS AND STRUCTURAL ENGINEERING,Theory,SMSE
29,COMPUTER LAB,Lab,COMPUTER LAB
30,Fluid Mechanics Lab,Lab,CE234
31,ENGINEERING MATHEMATICS IV,Theory,EM IV
32,COMPUTER AIDED DESIGN AND MANUFACTURING,Theory,04ME6512
33,Auto Chassis,Theory,AU203
34,KINEMATICS OF MACHINERY,Theory,KM
35,I C ENGINES AND COMBUSTION,Theory,IC
36,Economics and Communication skills,Theory,ECS
37,Problem Solving and Computer Programming,Theory,RLMCA101
38,Computer Organization,Theory,EC206
39,Switching Theory and Logic Design,Theory,CS203
40,Electronics Devices & Circuits,Theory,CS207
41,Programming Lab,Theory,EE233
42,Logic Design Lab,Lab,LD LAB
43,Principles of Management,Theory,HS300
44,Database Management Systems,Theory,RLMCA205
45,Digital Signal Processing,Theory,EE407
46,Advanced Microprocessors & Peripherals,Theory,AMP
47,Database Lab,Lab,RLMCA231
48,Hardware & Microprocessors Lab,Lab,HARDWARE LAB
49,Web Technologies,Theory,WT
50,Compiler Construction,Theory,CC
51,Computer Graphics,Theory,CS401
52,Object Oriented Modelling & Design,Theory,OOMD
53,Principles of Programming,Theory,INMCA203
54,Elective II,Elective,EL II
55,System ProgrammingLab,Lab,SP LAB
56,Networking Lab,Lab,NETWORK LAB
57,Seminar,Theory,SEMINAR
58,Project,Theory,CH492
60,English,Theory,INMCA101
61,Thermodynamics,Theory,ME205
62,COMPUTER GRAPHICS AND DRAFTING,Theory,CGAD
63,Electrical and Electronics Lab,Lab,EE335
64,DESIGN OF MACHINE ELEMENTS,Theory,DOM
65,ADVANCED AUTOMOTIVE TECHNOLOGY,Theory,AAT
66,AUTO ELECTRICAL AND ELECTRONICS,Theory,AEE
67,Refrigeration and Air Conditioning,Theory,ME405
68,Industrial Engineering,Theory,ME404
69,MECHANICAL MEASUREMENTS LABORATORY,Lab,MM Lab
70,AUTOMOBILE WORKSHOP II,Lab,AU WS
71,Fluid Mechanicsâ€“ I,Theory,CE203
72,Mechanics of Solids,Theory,ME201
73,Surveying,Theory,CE207
74,ENGINEERING GEOLOGY,Theory,EG
75,Materials Testing Lab I,Lab,CE232
76,Surveying Lab,Lab,CE233
77,COMPUTER PROGRAMMING,Lab,CP
78,Design of Concrete Structures I,Theory,CE301
79,Geotechnical Engineering-I,Theory,CE208
80,Quantity Surveying and Valuation,Theory,CE409
81,Structural Analysis- I,Theory,CE202
82,COMPUTING TECHNIQUES LAB,Lab,CT LAB
83,Geotechnical Engineering Lab,Lab,CE333
84,Design of Hydraulic Structures,Theory,CE302
85,Environmental Engineering- I,Theory,CE405
86,Design of Concrete Structures II,Theory,CE304
87,ARCHITECTURE AND TOWN PLANNING,Theory,ATP
88,TRANSPORTATION ENGINEERING - II ,Theory,TE
89,Prestressed Concrete,Elective,CE368
90,COMPUTER APPLICATIONS LAB,Theory,CA LAB
91,TRANSPORTATION ENGINEERING LAB,Lab,CE332
92,Discrete and Integrated Electronic  Circuits,Theory,DAIEC
93,Principles of Communication Engineering,Theory,PCE
94,Electronics Circuits and Communication   Lab,Lab,ECCL
95,Micoprocessors and Microcontrollers,Theory,MMC
96,Data Communication,Theory,CS307
97,Language Translators,Theory,LT
98,PC Hardware & Microprocessors Lab,Lab,PCHL
99,Systems Lab - UNIX,Lab,SLU
100,Systems Lab - DBMS,Lab,SLD
101,FINANCIAL MANAGEMENT AND E-  BANKING,Theory,FMEB
102,COMPUTER GRAPHICS & MULTIMEDIA   SYSTEMS,Theory,CGAMS
103,INTERNETWORKING,Theory,IN
104,WEB APPLICATIONS DEVELOPMENT,Theory,WAD
105,Operating System Kernel Design,Elective,OSKD
106,Data mining,Elective,DM
107,INTERNETWORKING LAB,Lab,INL
108,Computer Aided Software Engineering Lab,Lab,CASEL
109,Advanced Mechanics of  Materials,Theory,AMM
110,CAD-CAM Lab,Lab,CCL
111,Introduction to Mechanical Sciences,Theory,INS
112,Engineering Graphics,Theory,BE110
113,Sustainable Engineering,Theory,SE
114,ENGINEERING MATHEMATICS ,Theory,EM
115,Electrical and Electronic Engineering,Theory,EEE
116,Physical Metallurgy,Theory,MT202
117,Mineral Dressing,Theory,MB
118,Computer Programming LAB,Lab,CS120
119,Electrical Engineering Workshop,Lab,EE110
120,Dynamics of Machinery,Theory,ME304
121,Gas Dynamics and Jet Propulsion,Theory,GDJP
122,Metal Joining Technology,Theory,MJT
123,Iron and Steel Making,Theory,ISM
124,"Pyro, Hydro, Electro Metallurgy",Theory,PHEM
125,"Fuels, Furnace and Refractories",Theory,MT308
126,Metallurgical Thermodynamics,Theory,MTTH
127,Welding Laboratory,Lab,WL
128,Sales and Marketing Management,Theory,SMM
129,Heat Treatment of non-ferrous metals Laboratory,Lab,HTL
130,Corrosion Engineering,Theory,MT302
131,Non Destructive Testing and Failure Analysis,Theory,NDT
132,"Ceramics, Polymers and Composite Materials",Theory,MT402
133,Theory of Metal Forming,Theory,TMF
134,Powder Metallurgy,Theory,PM
135,Advanced Machine Tool Lab,Lab,AMTL
136,High Temperature Materials,Theory,HTM
137,Electro-metallurgy Laboratory,Lab,EML
138,Metal Forming Laboratory,Lab,MFL
139,Design of Machine Elements I,Theory,ME401
140,Electric Circuit Theroy,Theory,ECT
141,Electrical Measurements and Measuring instruments,Theory,EM & MI
142,Electronic Circuit ,Theory,EC
143,Mechanical Technology,Theory,MT
144,Electrical measurement Lab,Lab,EM Lab
145,Mechanical Laboratory,Lab,ML
146,Signals & Systems,Theory,EC202
147,Power Electronics,Theory,EE305
148,Linear Integrated Circuits,Theory,LIC
149,Microporcessor and Application,Theory,MA
150,Electrical Machines Lab I,Lab,EE232
151,Integrated Circuits Lab,Lab,IC Lab
152,Electric Power transmission,Theory,EPT
153,Synchronous machines,Theory,SM
154,Drives and control,Theory,DC
155,Modern control theory,Theory,MCT
156,Communication engineerig,Theory,CE
157,Elective II(PowerQuality),Theory,PQ
158,E Cad Lab,Theory,E Cad
159,Control and simulation Lab,Lab,CS Lab
160,Seminar,Lab,04EC6391
161,Aptitude - Communication,Lab,APT
162,Network Theory,Theory,EC201
163,Solid State Devices,Theory,EC203
164,Analog Circuits - I,Theory,AC I
165,Analog Circuits Lab,Lab,AC Lab
166,Control Systems,Theory,EC409
167,Digital System Design,Theory,EE365
168,Electric Drives & Control,Theory,EDC
169,Applied Electromagnetic Theory,Theory,EC303
170,Microprocessors and Applications,Theory,MA
171,Digital Electronics Lab,Lab,DE Lab
172,Electric Drives and Control Lab,Lab,EDC Lab
173,VLSI,Theory,EC304
174,Information Theory and Coding,Theory,ITC
175,Microwave Engineering,Theory,ME
176,Electronic Instrumentation,Theory,EI
177,Embedded Systems,Theory,CS404
178,Elective II-Digital Image Processing,Theory,DIP
179,Elective II-Anteena Theory & Design,Theory,ATD
180,Advanced Communication Lab,Theory,AC Lab
181,Signal Processing Lab,Lab,SP Lab
182,INTRODUCTION TO CHEMCIAL ENGINEERING,Theory,ICE
183,Introduction to Sustainable Engineering,Theory,BE103
184,CHEMICAL ENGINEERING WORKSHOP,Theory,CEW
185,PHYSICAL AND ANALYTICAL CHEMISTRY,Theory,PAC
186,PROCESS CALCULATION,Theory,PC
187,Fluid and Particle Mechanics - I,Theory,CH205
188,ANALYTICAL CHEMISTRY LAB ,Lab,AC Lab
189,Chemical Reaction Engineering I,Theory,CH305
190,HEAT TRANSFER II,Theory,HT II
191,CHEMICAL TECHNOLOGY I,Theory,CT I
192,Mass Transfer Operations I,Theory,CH303
193,CHEMICAL ENGINEERING THERMODYAMICS II,Theory,CET II
194,CHEMICAL TECHNOLOGY LAB,Lab,CT Lab
195,MECHANICAL OPERATIONS LAB,Lab,MO Lab
196,Software Lab,Lab,SL
197,Computer Aided Drafting Lab,Lab,CAD Lab
198,COMPUTER GRAPHICS AND DRAFTING,Lab,CGD
199,Placement & Training,Lab,P&T
200,Mini Project Report,Lab,MPR
