ssaId,subId,classId,ssaStatus,subjectCode,subjectType
1,1,58,1,MCA201,Theory
2,2,58,1,MCA202,Theory
3,3,58,1,MCA203,Theory
4,4,58,1,MCA204,Theory
5,5,58,1,MCA205,Theory
6,6,58,1,MCA206,Lab
7,7,58,1,MCA207,Lab
8,8,59,1,MCA401,Theory
9,9,59,1,MCA402,Theory
10,10,59,1,MCA403,Theory
11,11,59,1,MCA404,Theory
12,12,59,1,MCA405,Elective
13,13,59,1,MCA406,Lab
14,14,59,1,MCA407,Lab
15,8,57,1,MCA401,Theory
16,9,57,1,MCA402,Theory
17,10,57,1,MCA403,Theory
18,11,57,1,MCA404,Theory
20,12,57,1,MCA405,Elective
21,13,57,1,MCA406,Lab
22,14,57,1,MCA407,Lab
23,1,57,1,MCA201,Theory
24,2,57,1,MCA202,Theory
25,3,57,1,MCA203,Theory
26,15,56,1,DMCA201,Theory
27,20,56,1,DMCA202,Theory
28,16,56,1,DMCA203,Theory
29,5,56,1,DMCA205,Theory
30,17,56,1,DMCA204,Theory
31,18,56,1,DMCA206,Lab
32,19,56,1,DMCA207,Lab
33,21,57,1,,Other
34,23,61,1,EN010301,Theory
35,24,61,1,EN010302,Theory
36,24,22,0,EN010303,Theory
37,37,61,1,EN010303,Theory
38,39,61,1,CS010305,Theory
39,40,61,1,EN010306,Theory
40,27,61,1,EN010307,Lab
41,42,26,1,EN010308,Lab
42,42,61,1,EN010308,Lab
43,24,62,1,EN010302,Theory
44,37,62,1,EN010303,Theory
45,38,62,1,EN010304,Theory
46,39,62,1,CS010305,Theory
47,40,62,1,EN010306,Theory
48,41,62,1,EN010307,Lab
49,0,0,1,,
50,42,62,1,EN010308,Lab
51,49,67,1,CS010701,Theory
52,50,67,1,CS010702,Theory
53,51,67,1,CS010703,Theory
54,11,67,1,CS010704,Theory
55,53,67,1,CS010705,Theory
56,43,61,0,CS010502,Theory
57,54,67,1,CS010706,Theory
58,55,67,1,CS010707,Lab
59,43,63,1,CS010502,Theory
60,56,67,1,CS010708,Lab
61,57,67,1,CS010709,Theory
62,44,63,1,CS010503,Theory
63,58,67,1,CS010710,Lab
64,49,68,1,CS010701,Theory
65,50,68,1,CS010702,Theory
66,45,63,1,CS010504,Theory
67,51,68,1,CS010703,Theory
68,4,63,1,CS010504,Theory
69,11,68,1,CS010704,Theory
70,46,63,1,CS010506,Theory
71,53,68,1,CS010705,Theory
72,56,68,1,CS010708,Lab
73,47,63,1,CS010507,Lab
