semsubId,semesterId,subId,subjectCode,semsubType
1,17,963,RLMCA133,Lab
2,17,41,RLMCA131,Lab
3,17,965,RLMCA105,Theory
4,17,962,RLMCA109,Theory
5,17,964,RLMCA103,Theory
6,17,43,RLMCA107,Theory
7,17,37,RLMCA101,Theory
8,13,915,RLMCA134,Lab
9,13,1009,RLMCA132,Lab
10,13,240,RLMCA112,Theory
11,13,912,RLMCA104,Theory
12,13,415,RLMCA102,Theory
13,13,4,RLMCA106,Theory
14,13,8,RLMCA108,Theory
15,18,47,RLMCA231,Lab
16,18,968,RLMCA233,Lab
17,18,9,RLMCA201,Theory
18,18,44,RLMCA205,Theory
19,18,420,RLMCA207,Theory
20,18,245,RLMCA203,Theory
21,18,967,RLMCA209,Theory
22,23,47,RLMCA231,Lab
23,23,968,RLMCA233,Lab
24,23,9,RLMCA201,Theory
25,23,44,RLMCA205,Theory
26,23,420,RLMCA207,Theory
27,23,245,RLMCA203,Theory
28,23,967,RLMCA209,Theory
29,44,1317,INMCA202,Theory
30,44,1318,INMCA204,Theory
31,44,1319,INMCA206,Theory
32,44,1320,INMCA208,Theory
33,44,1321,INMCA212,Theory
34,44,1322,INMCA232,Lab
35,44,1323,INMCA234,Lab
36,38,1019,RLMCA234,Lab
37,38,1018,RLMCA232,Lab
38,38,1010,RLMCA202,Theory
39,38,1011,RLMCA204,Theory
40,38,1793,RLMCA266,Elective
41,38,1013,RLMCA208,Theory
42,38,1012,RLMCA206,Theory
43,12,1019,RLMCA234,Lab
44,12,1018,RLMCA232,Lab
45,12,1010,RLMCA202,Theory
46,12,1011,RLMCA204,Theory
47,12,1793,RLMCA266,Elective
48,12,1013,RLMCA208,Theory
49,12,1012,RLMCA206,Theory
50,46,1324,INMCA301,Theory
51,46,1325,INMCA303,Theory
52,46,1326,INMCA305,Theory
53,46,1327,INMCA307,Theory
54,46,1328,INMCA309,Theory
55,46,1329,INMCA331,Lab
56,46,1330,INMCA333,Lab
57,19,393,RLMCA351,Mini Project
58,19,256,RLMCA341,Seminar
59,19,975,RLMCA381,Elective
60,19,497,RLMCA305,Theory
61,19,1028,RLMCA303,Theory
62,19,1240,RLMCA369,Elective
63,19,1243,RLMCA301,Theory
64,45,393,RLMCA351,Mini Project
65,45,256,RLMCA341,Seminar
66,45,975,RLMCA381,Elective
67,45,497,RLMCA305,Theory
68,45,1028,RLMCA303,Theory
69,45,1240,RLMCA369,Elective
70,45,1243,RLMCA301,Theory
71,47,1331,INMCA302,Theory
72,47,1332,INMCA304,Theory
73,47,1333,INMCA306,Theory
74,47,1334,INMCA308,Theory
75,47,1335,INMCA312,Theory
76,47,1336,INMCA332,Lab
77,47,1337,INMCA334,Lab
78,27,1338,RLMCA352,Final Project
80,11,1338,RLMCA352,Final Project
81,3,547,AU232,Lab
82,3,1034,AU234,Lab
83,3,1032,AU202,Theory
84,3,476,AU206,Theory
85,3,546,AU208,Theory
86,3,1033,AU204,Theory
87,3,1066,HS200,Theory
88,3,1066,HS210,Theory
89,3,1031,MA202,Theory
90,3,30,CE234,Lab
91,3,75,CE232,Lab
92,3,1083,CE204,Theory
93,3,1084,CE206,Theory
94,3,79,CE208,Theory
97,3,81,CE202,Theory
98,3,440,CH232,Lab
99,3,1089,CH234,Lab
100,3,1192,CH204,Theory
101,3,1088,CH208,Theory
102,3,1087,CH206,Theory
103,3,1086,CH202,Theory
106,3,1080,CS234,Lab
107,3,1079,CS232,Lab
108,3,240,CS202,Theory
109,3,1078,CS206,Theory
110,3,4,CS204,Theory
111,3,1059,CS208,Theory
112,3,1077,EC232,Lab
113,3,1076,EC230,Lab
114,3,1075,EC208,Theory
115,3,1074,EC204,Theory
116,3,38,EC206,Theory
117,3,1073,MA204,Theory
118,3,146,EC202,Theory
119,3,150,EE232,Lab
120,3,1063,EE204,Theory
121,3,1064,EE206,Theory
122,3,1065,EE208,Theory
123,3,1062,EE202,Theory
126,3,1067,EE234,Lab
127,3,1060,IT234,Lab
128,3,1009,IT232,Lab
129,3,1057,IT202,Theory
130,3,1058,IT204,Theory
133,3,889,ME230,Lab
134,3,1051,ME232,Lab
135,3,278,ME202,Theory
136,3,1049,ME206,Theory
137,3,1050,ME220,Theory
138,3,1048,ME204,Theory
141,3,116,MT202,Theory
142,3,470,MT234,Lab
143,3,1191,MT232,Lab
144,3,1041,MT204,Theory
145,3,465,MT208,Theory
