comid,semsubId,outcome,shortCode,nba_acid
94,11,"Identify the basic data structures,memory representation and various operations of array",1,1
95,11,Simulate the linear data structure operations of stack and its applications,2,1
96,11,"Demonstrate the data structure queue, operations and and applications",3,1
97,11,"Implement linked list , operations and its application",4,1
98,11,"Simulate nonlinear data structures like tree, graph and their traversal",5,1
99,11,Select and use appropriate data structures for problem sorting and searching,6,1
100,8,"Identify the basic data structures,memory representation and various operations of array",1,1
101,8,Simulate the linear data structure operations of stack and its applications,2,1
102,8,"Demonstrate the data structure queue, operations and and applications",3,1
103,8,"Implement linked list , operations and its application",4,1
104,8,"Simulate nonlinear data structures like tree, graph and their traversal",5,1
105,29,"Explain the advantages of .NET technology, Architecture and common run time environments",1,1
106,29,Analyse and evaluate the use of various datatypes and data structures,2,1
107,29,Practice decision structures and loop structures for determining different operations and to perform repetitive tasks,3,1
108,29,Construct and debug Visual Basic applications,4,1
109,29,Construct and Deploy Windows and Web applications,5,1
110,29,Construct GUI programming with database application,6,1
111,34,"Explain the advantages of .NET technology, Architecture and common run time environments",1,1
112,34,Analyse and evaluate the use of various datatypes and data structures,2,1
113,287,Identify the computer graphics display technologies.,1,1
114,174,Analyze basic computer programming concepts and solve basic C++ programs using selection statements.,1,1
115,174,Design basic C++ programs using looping and jump statements and use pointers and arrays to build programs for evaluation.,2,1
116,174,Demonstrate the use of functions to solve problems.,3,1
117,174,"Develop skills to use structures, data handling through files in C++ and describe object oriented concepts such as class, object, inheritance etc.",4,1
118,110,Identify the significance of operating system in computing devices and describe the various structures of operating systems.,1,1
119,110,Apply Inter Process Communication for the communication between application programs.,2,1
120,174,Illustrate basic numerical methods for interpolation and finding roots of equations.,5,1
121,110,Compare and illustrate various synchronization problems with its solution using semaphores and monitors,3,1
122,110,Demonstrate the deadlock avoidance & detection solutions and various process scheduling algorithm analysis.,4,1
123,174,Utilize numerical techniques for integration and solution of partial differential equations.,6,1
124,110,Explain Virtual memory concept and different memory management schemes .,5,1
125,110,Describe the file management and appreciate the need of access control and protection in an operating system.,6,1
126,290,Analyse and solve simple arithmetic and logical    problems using C Programming Language.,1,1
127,290,Organize appropriate algorithms to solve problems using control Structures.,2,1
128,290,Identify the use of structured and modular design principles,3,1
129,290,Demonstrate effective use of derived data types to solve complex problems.,4,1
130,286,"Discuss how Android applications work, their life cycle, manifest, Intents, and using external resources",1,1
131,34,Practice decision structures and loop structures for determining different operations and to perform repetitive tasks,3,1
132,34,Construct  and debug Visual Basic applications,4,1
133,34,Construct and Deploy Windows and Web applications,5,1
134,34,Construct GUI programming with database application,6,1
135,351,Implement security functions of different types,6,1
432,10,Interpret  mapping functions and replacement algorithms,6,1
136,351,"Demonstrate the engineering and economic involvement in the planning, operation and control of power generation and transmission systems in electric utilities",1,1
137,351,Infer steady state and dynamic response of power system control,2,1
138,351,Interpret the nuances of unit commitment in power systems,3,1
139,351,Demonstrate the characteristics of a wide variety of thermal and hydroelectric power generation systems,4,1
140,351,Interpret the subtle concepts of energy exchanges between different power systems,5,1
141,97,Analyze trusses and determine internal axial forces,1,1
142,97,"Infer displacement response of statically determinate structures using energy methods, virtual work methods",2,1
143,97,Analyze statically indeterminate structures using strain energy method and method of consistent deformation,3,1
144,97,Construct influence lines to evaluate the effect of moving loads on statically determinate structures,4,1
145,97,"Analyze statically determinate arches, suspension bridges and cables",5,1
146,278,"Create a requirements model using UML class notations and use-cases based on statements of user requirements, and to analyze requirements models given to them for correctness and quality.",1,1
147,278,"Create the OO design of a system from the requirements model in terms of a high-level architecture description, and low-level models of structural organization and dynamic behavior using UML class, object, and sequence diagrams.",2,1
148,278,Create software that implements the OO designs modeled using UML.,3,1
149,278,"Identify the nature of design patterns by understanding a small number of examples from different pattern categories, and to be able to apply these patterns in creating an OO design.",4,1
150,278,"Evaluate a design for applicability, reasonableness, and relation to other design criteria against given OO design heuristics, patterns or published guidance.",5,1
151,287,Recognize the 2D transformation concepts and viewing transformation.,2,1
152,287,Employ the 3D geometric and modelling transformations and viewing.,3,1
153,287,Describe the techniques to represent curves and surfaces.,4,1
154,287,Compare surface detection methods and shading methods.,5,1
155,40,Explain the roles that databases play in organizations and familiar with basic database storage and file organization.,1,1
156,40,Identify the database accessing techniques: indexing and hashing.,2,1
157,40,Examine the basics of query processing.,3,1
158,40,Discuss the basics of Object Oriented Databases and XML.,4,1
159,40,"Describe the concept of advanced topics such as database performance tuning, distributed databases.",5,1
160,40,Analyze non-relational database systems and structures and New Generation Database Systems like MongoDB.,6,1
161,87,Identify concepts in economics and interpret their role in managerial economics which will be useful in their profession and business.,1,1
162,87,Analyze and interpret demand and supply of goods and services in the economy and its influence and execute production analysis.,2,1
163,87,Recognize the effect of trade cycle in business and analyze various market situations.,3,1
164,87,Measure National Income and evaluate measures taken by RBI in controlling inflation.,4,1
165,87,"Analyze, compare and justify investment decisions based on capital budgeting methods.",5,1
166,87,"Prepare and analyze balance sheets, interpret taxation system in India, compare different sources of capital for firms and carry out demand forecast.",6,1
167,193,Explain the general characteristics of catalysts and the principle behind the catalytic activity,1,1
168,193,Outline appropriate preparative method for a catalyst,2,1
169,193,Apply the basic concepts and theory for characterization of catalysts,3,1
170,193,Identify various industrial catalysts,4,1
171,193,Analyze catalyst deactivation,5,1
172,193,Describe modern trends in catalyst technology,6,1
173,183,"Determine the percentage actual recovery of solutes using various leaching methods such as simple leaching, cross current leaching, and counter current leaching",1,1
174,183,Plan and execute experiments on adsorption isotherm and ternary liquid equilibrium,2,1
175,183,Determine the rate of batch drying and diffusion of vapor in air,3,1
176,183,Plan and execute experiments on simple distillation and liquid-liquid extraction,4,1
177,183,Plan and perform experiments using equipment used in industrial operations such as packed bed absorption and packed bed distillation,5,1
178,126,Derive the magnetic characteristics of iron ring specimen,1,1
179,126,"Estimate the resistance, inductance and capacitance of circuit elements",2,1
180,126,Justify DC network theorems by setting up various networks,3,1
181,126,Analyze RLC circuits and coupled circuit to obtain the voltage -current relations,4,1
182,126,Perform calibration of single phase and three phase energy meters at various power factor,5,1
183,126,Determine power in single and three phase circuits by various methods,6,1
184,137,List various casting processes and recall the technology related to each,1,1
185,137,Select the rolling methods required for getting the required shapes of rolled products,2,1
186,137,Identify the important aspects of the forging techniques,3,1
187,137,Discuss the principles of location and clamping,4,1
188,137,Compare the different sheet metal working processes and justify their applications to produce various shapes and products,5,1
189,137,Explain various types of welding processes,6,1
190,153,Design an algorithmic solution for a given problem,1,1
191,153,Choose the loops and decision making statements  to solve the problem,2,1
1824,270,Infer various authentication protocols and processes,6,1
192,153,"Use simple data structures like arrays, stacks and linked list in solving  problems.",3,1
193,153,"Explain programs with pointers and arrays,pointer  arithmetic, and use the pre-processor techniques",4,1
194,153,Practice simple applications of real life using structures and files.,5,1
